,Run_1,Run_2,Run_3,Run_4,Run_5
0,-200.0,-200.0,-200.0,-200.0,-200.0
1,-200.0,-200.0,-200.0,-200.0,-200.0
2,-200.0,-200.0,-200.0,-200.0,-200.0
3,-200.0,-200.0,-200.0,-200.0,-200.0
4,-200.0,-200.0,-200.0,-200.0,-200.0
5,-200.0,-200.0,-200.0,-200.0,-200.0
6,-200.0,-200.0,-200.0,-200.0,-200.0
7,-200.0,-200.0,-200.0,-200.0,-200.0
8,-200.0,-200.0,-200.0,-200.0,-200.0
9,-200.0,-200.0,-200.0,-200.0,-200.0
10,-200.0,-200.0,-200.0,-200.0,-200.0
11,-200.0,-200.0,-200.0,-200.0,-200.0
12,-200.0,-200.0,-200.0,-200.0,-200.0
13,-200.0,-200.0,-200.0,-200.0,-200.0
14,-200.0,-200.0,-200.0,-200.0,-200.0
15,-200.0,-200.0,-200.0,-200.0,-142.0
16,-200.0,-200.0,-200.0,-200.0,-200.0
17,-200.0,-200.0,-200.0,-170.0,-200.0
18,-200.0,-200.0,-200.0,-200.0,-200.0
19,-200.0,-200.0,-200.0,-200.0,-200.0
20,-200.0,-200.0,-200.0,-200.0,-200.0
21,-200.0,-200.0,-200.0,-200.0,-200.0
22,-200.0,-200.0,-200.0,-200.0,-200.0
23,-200.0,-200.0,-200.0,-200.0,-200.0
24,-200.0,-200.0,-200.0,-200.0,-200.0
25,-200.0,-200.0,-200.0,-200.0,-200.0
26,-200.0,-200.0,-200.0,-200.0,-200.0
27,-200.0,-200.0,-200.0,-200.0,-182.0
28,-200.0,-200.0,-200.0,-200.0,-200.0
29,-200.0,-200.0,-184.0,-191.0,-200.0
30,-200.0,-200.0,-200.0,-190.0,-177.0
31,-200.0,-198.0,-183.0,-200.0,-200.0
32,-200.0,-200.0,-200.0,-175.0,-191.0
33,-200.0,-200.0,-144.0,-195.0,-175.0
34,-200.0,-199.0,-178.0,-120.0,-200.0
35,-200.0,-161.0,-139.0,-183.0,-106.0
36,-200.0,-194.0,-134.0,-157.0,-168.0
37,-200.0,-200.0,-193.0,-184.0,-158.0
38,-200.0,-200.0,-195.0,-200.0,-185.0
39,-200.0,-187.0,-200.0,-188.0,-169.0
40,-200.0,-182.0,-199.0,-187.0,-177.0
41,-200.0,-115.0,-184.0,-200.0,-186.0
42,-200.0,-180.0,-190.0,-186.0,-186.0
43,-200.0,-193.0,-200.0,-97.0,-185.0
44,-200.0,-188.0,-177.0,-163.0,-178.0
45,-200.0,-200.0,-162.0,-168.0,-179.0
46,-200.0,-182.0,-189.0,-189.0,-92.0
47,-200.0,-114.0,-191.0,-182.0,-184.0
48,-200.0,-174.0,-200.0,-177.0,-165.0
49,-200.0,-157.0,-102.0,-176.0,-172.0
50,-200.0,-163.0,-200.0,-88.0,-95.0
51,-200.0,-102.0,-135.0,-182.0,-160.0
52,-200.0,-200.0,-189.0,-166.0,-195.0
53,-200.0,-168.0,-200.0,-148.0,-120.0
54,-200.0,-189.0,-186.0,-187.0,-98.0
55,-200.0,-122.0,-190.0,-167.0,-133.0
56,-200.0,-116.0,-200.0,-200.0,-88.0
57,-200.0,-98.0,-200.0,-164.0,-164.0
58,-200.0,-127.0,-131.0,-200.0,-113.0
59,-200.0,-145.0,-98.0,-102.0,-173.0
60,-200.0,-182.0,-170.0,-181.0,-127.0
61,-200.0,-92.0,-91.0,-167.0,-98.0
62,-200.0,-194.0,-174.0,-164.0,-179.0
63,-200.0,-124.0,-98.0,-167.0,-87.0
64,-200.0,-135.0,-163.0,-157.0,-134.0
65,-200.0,-200.0,-165.0,-128.0,-189.0
66,-200.0,-173.0,-127.0,-200.0,-174.0
67,-200.0,-200.0,-200.0,-137.0,-166.0
68,-200.0,-181.0,-172.0,-168.0,-185.0
69,-200.0,-175.0,-145.0,-200.0,-103.0
70,-200.0,-182.0,-166.0,-156.0,-138.0
71,-200.0,-185.0,-175.0,-166.0,-191.0
72,-200.0,-136.0,-144.0,-160.0,-200.0
73,-200.0,-173.0,-180.0,-124.0,-186.0
74,-200.0,-160.0,-95.0,-106.0,-176.0
75,-200.0,-197.0,-200.0,-171.0,-107.0
76,-200.0,-109.0,-122.0,-174.0,-197.0
77,-200.0,-104.0,-169.0,-157.0,-166.0
78,-200.0,-95.0,-91.0,-187.0,-87.0
79,-200.0,-105.0,-101.0,-161.0,-92.0
80,-200.0,-170.0,-99.0,-174.0,-152.0
81,-200.0,-185.0,-91.0,-151.0,-127.0
82,-200.0,-132.0,-110.0,-147.0,-184.0
83,-200.0,-117.0,-158.0,-182.0,-164.0
84,-200.0,-179.0,-104.0,-102.0,-150.0
85,-200.0,-126.0,-165.0,-168.0,-174.0
86,-200.0,-173.0,-153.0,-159.0,-171.0
87,-200.0,-177.0,-171.0,-157.0,-92.0
88,-200.0,-103.0,-161.0,-87.0,-90.0
89,-200.0,-164.0,-107.0,-135.0,-149.0
90,-190.0,-181.0,-161.0,-176.0,-188.0
91,-200.0,-93.0,-163.0,-163.0,-200.0
92,-200.0,-125.0,-159.0,-92.0,-153.0
93,-200.0,-126.0,-158.0,-88.0,-166.0
94,-200.0,-128.0,-182.0,-200.0,-93.0
95,-200.0,-98.0,-160.0,-181.0,-153.0
96,-200.0,-116.0,-158.0,-154.0,-186.0
97,-200.0,-120.0,-100.0,-101.0,-140.0
98,-200.0,-97.0,-158.0,-101.0,-152.0
99,-200.0,-121.0,-101.0,-89.0,-150.0
100,-200.0,-128.0,-156.0,-179.0,-186.0
101,-200.0,-137.0,-103.0,-159.0,-145.0
102,-200.0,-123.0,-159.0,-153.0,-157.0
103,-200.0,-164.0,-94.0,-159.0,-151.0
104,-200.0,-147.0,-90.0,-167.0,-129.0
105,-200.0,-177.0,-93.0,-159.0,-138.0
106,-200.0,-167.0,-153.0,-167.0,-113.0
107,-200.0,-94.0,-91.0,-89.0,-152.0
108,-200.0,-92.0,-158.0,-171.0,-149.0
109,-200.0,-164.0,-174.0,-115.0,-162.0
110,-200.0,-90.0,-153.0,-158.0,-145.0
111,-200.0,-158.0,-86.0,-173.0,-94.0
112,-200.0,-147.0,-102.0,-167.0,-159.0
113,-200.0,-124.0,-98.0,-165.0,-164.0
114,-200.0,-90.0,-87.0,-163.0,-150.0
115,-200.0,-95.0,-150.0,-157.0,-164.0
116,-200.0,-93.0,-165.0,-92.0,-137.0
117,-200.0,-161.0,-90.0,-157.0,-142.0
118,-200.0,-86.0,-156.0,-169.0,-105.0
119,-200.0,-164.0,-88.0,-95.0,-144.0
120,-200.0,-170.0,-200.0,-174.0,-153.0
121,-200.0,-182.0,-155.0,-158.0,-190.0
122,-200.0,-168.0,-157.0,-86.0,-175.0
123,-200.0,-91.0,-88.0,-151.0,-147.0
124,-200.0,-155.0,-90.0,-157.0,-153.0
125,-200.0,-159.0,-155.0,-105.0,-146.0
126,-200.0,-194.0,-164.0,-163.0,-149.0
127,-200.0,-200.0,-155.0,-170.0,-168.0
128,-200.0,-169.0,-88.0,-96.0,-154.0
129,-200.0,-144.0,-93.0,-146.0,-145.0
130,-200.0,-175.0,-144.0,-90.0,-141.0
131,-200.0,-115.0,-165.0,-153.0,-94.0
132,-200.0,-121.0,-152.0,-92.0,-97.0
133,-200.0,-131.0,-154.0,-149.0,-158.0
134,-200.0,-189.0,-89.0,-147.0,-166.0
135,-197.0,-94.0,-163.0,-165.0,-143.0
136,-200.0,-90.0,-150.0,-149.0,-108.0
137,-200.0,-91.0,-153.0,-148.0,-150.0
138,-200.0,-89.0,-172.0,-152.0,-173.0
139,-200.0,-87.0,-156.0,-149.0,-88.0
140,-195.0,-101.0,-157.0,-146.0,-158.0
141,-200.0,-200.0,-163.0,-102.0,-175.0
142,-185.0,-148.0,-95.0,-94.0,-95.0
143,-196.0,-148.0,-155.0,-151.0,-149.0
144,-191.0,-150.0,-156.0,-150.0,-141.0
145,-200.0,-92.0,-165.0,-147.0,-99.0
146,-200.0,-109.0,-111.0,-148.0,-89.0
147,-200.0,-102.0,-155.0,-155.0,-145.0
148,-200.0,-152.0,-162.0,-144.0,-155.0
149,-200.0,-105.0,-97.0,-149.0,-156.0
150,-200.0,-86.0,-100.0,-143.0,-143.0
151,-200.0,-88.0,-161.0,-142.0,-141.0
152,-200.0,-98.0,-177.0,-145.0,-157.0
153,-200.0,-200.0,-151.0,-144.0,-146.0
154,-200.0,-200.0,-94.0,-160.0,-156.0
155,-200.0,-139.0,-158.0,-148.0,-166.0
156,-200.0,-149.0,-150.0,-151.0,-155.0
157,-200.0,-86.0,-94.0,-159.0,-142.0
158,-200.0,-90.0,-150.0,-115.0,-152.0
159,-200.0,-161.0,-154.0,-146.0,-142.0
160,-200.0,-149.0,-99.0,-100.0,-161.0
161,-200.0,-153.0,-151.0,-178.0,-152.0
162,-200.0,-91.0,-148.0,-89.0,-154.0
163,-200.0,-152.0,-161.0,-150.0,-149.0
164,-200.0,-85.0,-149.0,-147.0,-157.0
165,-200.0,-92.0,-150.0,-148.0,-149.0
166,-200.0,-200.0,-150.0,-143.0,-146.0
167,-200.0,-160.0,-153.0,-143.0,-161.0
168,-200.0,-138.0,-157.0,-200.0,-98.0
169,-200.0,-142.0,-150.0,-87.0,-146.0
170,-141.0,-149.0,-159.0,-97.0,-158.0
171,-179.0,-144.0,-150.0,-156.0,-154.0
172,-140.0,-192.0,-159.0,-145.0,-146.0
173,-184.0,-89.0,-148.0,-98.0,-141.0
174,-155.0,-170.0,-151.0,-96.0,-159.0
175,-173.0,-188.0,-145.0,-142.0,-99.0
176,-178.0,-140.0,-157.0,-91.0,-153.0
177,-176.0,-139.0,-97.0,-147.0,-141.0
178,-134.0,-161.0,-145.0,-87.0,-154.0
179,-187.0,-92.0,-146.0,-91.0,-158.0
180,-170.0,-92.0,-89.0,-154.0,-101.0
181,-127.0,-142.0,-154.0,-139.0,-90.0
182,-176.0,-140.0,-156.0,-173.0,-103.0
183,-138.0,-146.0,-90.0,-141.0,-93.0
184,-168.0,-146.0,-144.0,-171.0,-149.0
185,-177.0,-98.0,-151.0,-141.0,-154.0
186,-164.0,-149.0,-149.0,-167.0,-146.0
187,-172.0,-93.0,-156.0,-163.0,-159.0
188,-97.0,-146.0,-144.0,-149.0,-147.0
189,-170.0,-145.0,-152.0,-163.0,-146.0
190,-170.0,-152.0,-153.0,-147.0,-153.0
191,-179.0,-92.0,-146.0,-153.0,-147.0
192,-188.0,-147.0,-150.0,-153.0,-91.0
193,-133.0,-142.0,-108.0,-139.0,-145.0
194,-179.0,-143.0,-148.0,-149.0,-150.0
195,-173.0,-140.0,-146.0,-145.0,-111.0
196,-128.0,-90.0,-147.0,-140.0,-142.0
197,-169.0,-139.0,-200.0,-162.0,-200.0
198,-86.0,-153.0,-110.0,-157.0,-91.0
199,-154.0,-149.0,-147.0,-121.0,-148.0
200,-141.0,-140.0,-157.0,-169.0,-148.0
